,Time,Angle,LinAcc,GravX,GravY,GravZ,LinVel1,LinVel2
2856,51.159648,58,9.585671598797862,-9.76,-0.56,-0.7,-2.219478929355347,-3.1284037079578866
2857,51.176612,59,8.13216453350521,-9.77,-0.27,-0.76,-2.202921811453322,-3.1149724133691166
2858,51.1971,60,5.676697983863506,-9.76,0.26,-0.83,-2.203151473184491,-3.1103658172266364
2859,51.21546,60,5.557175541585851,-9.73,0.77,-0.86,-2.242834839960125,-3.1440902497485013
2860,51.232347999999995,59,6.319438266175245,-9.67,1.3,-0.89,-2.2902554029495548,-3.1806555142412094
2861,51.252247999999994,57,8.61550346758679,-9.57,1.87,-0.93,-2.337060305210116,-3.168904235475793
2862,51.269279999999995,53,9.05335849284673,-9.45,2.39,-0.97,-2.385796102579633,-3.15528759850622
2863,51.289179999999995,50,9.715019300032296,-9.32,2.87,-1.0,-2.446468018650762,-3.1053936309525056
2864,51.30938,44,9.889888775916544,-9.16,3.33,-1.02,-2.5203329880724965,-3.0442354508708718
2865,51.326184,38,10.130375116450525,-8.99,3.75,-1.03,-2.59275961984396,-3.0128765851326875
2866,51.346287999999994,32,9.485863165785178,-8.91,3.94,-1.04,-2.6933145865023818,-2.9525455494051585
2867,51.365027999999995,24,7.837914263373898,-8.76,4.26,-1.06,-2.79241039506789,-2.927073146379371
2868,51.3821,17,4.404247949423374,-8.63,4.5,-1.11,-2.8506263430740404,-2.9594254412164105
2869,51.401911999999996,11,3.4115538981525706,-8.54,4.66,-1.16,-2.853125113891167,-3.0188534995997998
2870,51.418955999999994,7,4.690948731333567,-8.47,4.78,-1.22,-2.8278541605655647,-3.086655363676755
2871,51.438168,6,11.245487984076101,-8.39,4.9,-1.28,-2.854817050383815,-3.0704213440740205
2872,51.44728,6,11.245487984076101,-8.39,4.9,-1.28,-2.908884515203468,-3.104803849048608
2873,51.465252,8,5.000589965194107,-8.32,5.02,-1.26,-2.9754343658760405,-3.0956679840818992
2874,51.482292,11,2.7665501983517307,-8.36,4.96,-1.25,-3.0236702474069546,-3.166343341373988
2875,51.502176,12,12.06573246844136,-8.42,4.85,-1.25,-3.0569067644904067,-3.15573217858622
2876,51.519363999999996,12,21.517595125849915,-8.54,4.67,-1.18,-3.028914355140543,-3.003968452726383
2877,51.538972,15,6.882797396407946,-8.58,4.62,-0.97,-3.036995365992084,-2.8623823959235892
2878,51.559011999999996,20,10.143968651371118,-8.62,4.58,-0.91,-3.088338135201525,-2.8286255916103755
2879,51.575944,22,30.341387575389493,-8.62,4.57,-0.96,-3.065990549536437,-2.6227279572800057
2880,51.596516,22,22.210128320205627,-8.63,4.53,-1.02,-3.0213725708756414,-2.21903445626333
2881,51.61492,22,11.104823276396614,-8.76,4.25,-1.14,-2.993306183162659,-2.0493216631568885
2882,51.632072,22,6.16952186153838,-8.88,3.94,-1.26,-2.9592962873464614,-2.038028270739403
2883,51.652048,20,2.619656466027559,-9.01,3.6,-1.37,-2.9349686196920146,-2.087093349089116
2884,51.669052,18,2.6373281934564003,-9.16,3.18,-1.43,-2.93719634185139,-2.179249856999661
2885,51.688843999999996,17,3.4911316216951773,-9.29,2.76,-1.48,-2.9306231155020726,-2.2554540101544376
2886,51.708908,15,2.650018867857359,-9.39,2.36,-1.51,-2.9274950522759866,-2.330697379928665
2887,51.725823999999996,13,1.0818964830333815,-9.48,1.96,-1.52,-2.9501704366191888,-2.435984231376324
2888,51.746044,12,1.0242070103255494,-9.52,1.76,-1.52,-2.991523721344322,-2.5515429165439514
2889,51.764384,10,0.9131812525451889,-9.59,1.35,-1.53,-3.033016374560404,-2.670628457658836
2890,51.781456,8,1.4707141122597551,-9.64,0.93,-1.53,-3.0679354004389268,-2.7871309183103676
2891,51.801255999999995,7,0.6635510530471638,-9.67,0.54,-1.53,-3.0916526888822347,-2.902853084659341
2892,51.8183,6,1.0313583276436953,-9.68,0.15,-1.53,-3.106766925406376,-3.0252604584024994
2893,51.827479999999994,6,1.0313583276436953,-9.68,0.15,-1.53,-3.1245595435063223,-3.152643980440189
2894,51.847888,5,1.9097905644337025,-9.68,-0.25,-1.53,-3.1361056144964152,-3.259483888630939
2895,51.857015999999994,5,1.9097905644337025,-9.68,-0.25,-1.53,-3.1572320275710837,-3.378902711844262
2896,51.873819999999995,4,2.7910213184424086,-9.65,-0.8,-1.49,-3.179526782584688,-3.476257881889751
2897,51.894084,4,5.690790806206111,-9.63,-1.14,-1.44,-3.2102038170552447,-3.52717155292828
2898,51.913252,4,7.304149505589272,-9.59,-1.46,-1.37,-3.239295974811725,-3.5394794364655127
2899,51.930319999999995,4,7.538540972893892,-9.55,-1.76,-1.29,-3.2540684307792844,-3.549663307407627
2900,51.950283999999996,5,8.304823899397265,-9.5,-2.1,-1.21,-3.254329708637158,-3.528366230737902
2901,51.967135999999996,7,8.07377235250041,-9.44,-2.39,-1.12,-3.2585687480220713,-3.5272115702048836
